areaacres,areasqkm,states,huc10,name
109320.000000000000000,442.413680530000022,"CA,NV",1809020212,Lower Fortymile Canyon
83504.000000000000000,337.934457850000001,CA,1807010503,Rio Hondo
116664.000000000000000,472.132956400000012,CA,1802000308,Town of Pittville-Pit River
146486.000000000000000,592.821037929999989,CA,1804000119,Lower Los Banos Creek
152943.000000000000000,618.953463599999964,CA,1806000607,Pismo Creek-Frontal Pacific Ocean
57789.000000000000000,233.869625750000012,CA,1804000907,South Fork Tuolumne River
146445.000000000000000,592.655908339999996,CA,1802000204,Pine Creek-South Fork Pit River
134084.000000000000000,542.632051700000034,CA,1809020508,China Lake
38882.000000000000000,157.352352109999998,"CA,NV",1605010102,Marlette Lake-Frontal Lake Tahoe
90674.000000000000000,366.953697519999992,CA,1802015905,Lower Feather River
100032.000000000000000,404.824274119999984,CA,1803000201,Headwaters South Fork Kern River
52374.000000000000000,211.953024580000005,CA,1803000704,Marble Fork Kaweah River-Kaweah River
127287.000000000000000,515.123070819999953,CA,1809020319,Wingate Wash
176348.000000000000000,713.672009529999968,"AZ,CA",1503010412,Yuma Wash-Colorado River
113192.000000000000000,458.079935330000012,CA,1807030101,San Juan Creek
204187.000000000000000,826.333142319999979,CA,1801011004,Upper Russian River
100477.000000000000000,406.622904370000015,CA,1804005103,Lone Tree Creek
47929.000000000000000,193.967524870000005,CA,1805000502,Walker Creek
71902.000000000000000,290.983815979999974,CA,1806001501,Tembladero Slough
81249.000000000000000,328.808510420000005,CA,1803000910,Town of Mendota-Fresno Slough
156444.000000000000000,633.121254900000054,"CA,NV",1604020406,Duck Lake
62037.000000000000000,251.059635509999993,CA,1801010511,Salt River-Eel River
62466.000000000000000,252.798431800000003,CA,1804000607,Chiquito Creek
210537.000000000000000,852.030123340000046,CA,1801020704,Parks Creek-Shasta River
110682.000000000000000,447.923577490000014,CA,1806000706,Lower Cuyama River
136810.000000000000000,553.660590159999970,CA,1804000901,Headwaters Tuolumne River
87947.000000000000000,355.918532640000024,CA,1810010011,Sunshine Peak-Lavic Lake
79729.000000000000000,322.659417679999990,CA,1806001006,Zaca Creek-Santa Ynez River
151505.000000000000000,613.131541119999952,CA,1802012304,Upper Middle Fork Feather River
74808.000000000000000,302.742523199999994,CA,1804000613,Big Sandy Creek-San Joaquin River
62386.000000000000000,252.471573269999993,CA,1809020609,Le Montaine Creek-Eller Slough
141975.000000000000000,574.563245080000002,CA,1802015702,Deer Creek
150559.000000000000000,609.302088239999989,CA,1809020621,Peerless Valley
89085.000000000000000,360.523832029999994,CA,1809020823,Willow Wash
45065.000000000000000,182.376146640000002,CA,1802015405,Ash Creek-Sacramento River
125333.000000000000000,507.216316660000018,CA,1810010046,Packard Well
66039.000000000000000,267.255925279999985,CA,1802012601,Upper Bear River
79801.000000000000000,322.950147689999994,CA,1802010406,Stone Corral Creek
148237.000000000000000,599.907981609999979,CA,1807020307,Chino Creek
118121.000000000000000,478.030266270000027,CA,1804000105,Upper Chowchilla River
57151.000000000000000,231.287961940000002,CA,1807020301,Bear Creek
235976.000000000000000,954.980818989999989,CA,1810010054,Ship Creek-Ford Dry Lake
94622.000000000000000,382.928360849999990,CA,1803001223,Arroyo Torcido-Frontal Tulare Lake Bed
155631.000000000000000,629.831606139999963,CA,1806000205,Upper San Benito River
131256.000000000000000,531.186186720000023,CA,1801010402,Upper Middle Fork Eel River
199361.000000000000000,806.802212390000022,CA,1801020414,Lower Klamath Lake
47960.000000000000000,194.090994959999989,CA,1801010503,Dobbyn Creek
204993.000000000000000,829.595371040000032,CA,1805000602,San Gregorio Creek-Frontal Pacific Ocean
27875.000000000000000,112.807111000000006,CA,1804001401,Griswold Creek
139898.000000000000000,566.158508190000020,CA,1803000712,Middle Cross Creek
62914.000000000000000,254.611369270000012,CA,1808000302,Middle Pine Creek
142158.000000000000000,575.305640730000050,CA,1801021203,Lower Hayfork Creek
88440.000000000000000,357.911693669999977,CA,1802015602,Elder Creek
45764.000000000000000,185.205039929999998,CA,1809020615,Lake Palmdale-Piute Ponds
105105.000000000000000,425.352799090000019,CA,1803000207,Lower South Fork Kern River
41737.000000000000000,168.907442430000003,CA,1810010003,Blackhawk Canyon-Cougar Buttes
42437.000000000000000,171.741270359999987,CA,1803000308,El Paso Creek
143365.000000000000000,580.188902149999990,CA,1810020201,Vallecito Creek
157576.000000000000000,637.701279219999947,CA,1807020201,Upper San Jacinto River
230508.000000000000000,932.852605160000053,CA,1806000511,Pancho Rico Creek-Salinas River
123903.000000000000000,501.428774690000012,CA,1605010202,Prosser Creek-Truckee River
103208.000000000000000,417.675409160000015,CA,1802015208,Cottonwood Creek
53055.000000000000000,214.711871680000002,CA,1802015705,Big Chico Creek
59896.000000000000000,242.393893939999998,CA,1806000806,Santa Maria River
193215.000000000000000,781.931919920000041,CA,1810020413,Arroyo Salado-Frontal Salton Sea
189801.000000000000000,768.114535919999980,CA,1801010702,Mattole River
240946.000000000000000,975.093655610000042,CA,1808000102,Middle Alkali Lake
85731.000000000000000,346.948779039999977,CA,1803000901,Murphy Slough-Fresno Slough
103645.000000000000000,419.445451219999995,CA,1801010304,Outlet Creek
62672.000000000000000,253.630815009999992,CA,1803000602,North Fork Tule River
99797.000000000000000,403.871097420000012,CA,1807030205,Santa Margarita River
47575.000000000000000,192.531990610000008,CA,1809020708,The Buttes
110531.000000000000000,447.313424970000028,CA,1802000504,Sacramento River Arm-Shasta Lake
156077.000000000000000,631.633463389999974,CA,1809020220,Tecopa Hot Springs-Amargosa River
115307.000000000000000,466.640190299999972,CA,1801020802,French Creek-Scott River
216034.000000000000000,874.279165120000016,CA,1801020401,Fletcher Creek-Boles Creek
114127.000000000000000,461.864444999999989,CA,1803001212,Upper Kern River Flood Canal
89427.000000000000000,361.904564830000027,CA,1802011502,Upper Stony Creek
50180.000000000000000,203.075042419999988,CA,1802011602,Middle Creek
118763.000000000000000,480.626718310000001,CA,1809010204,Horton Creek-Owens River
56611.000000000000000,229.102177860000012,CA,1809020820,Lower Kelso Wash
67302.000000000000000,272.366270880000002,CA,1809020601,Upper Cache Creek
61120.000000000000000,247.349918260000010,CA,1802012301,Little Last Chance Creek
57727.000000000000000,233.616534949999988,CA,1802000210,Clover Swale Creek
40124.000000000000000,162.379764209999990,CA,1810010017,Coyote Lake
160813.000000000000000,650.802418429999989,CA,1803000907,James Bypass
201820.000000000000000,816.755858600000010,CA,1802012802,Rubicon River
119451.000000000000000,483.412611079999976,CA,1809020403,Darwin Wash
131467.000000000000000,532.040873749999946,CA,1810010040,Iron Mountain Tunnel-Sand Draw
116805.000000000000000,472.704840160000003,CA,1803000608,Elk Bayou
88262.000000000000000,357.192973590000008,CA,1801021104,Stuart Fork
54639.000000000000000,221.120555590000009,CA,1806000505,Big Sandy Creek
163134.000000000000000,660.195997239999997,CA,1803000314,Sandy Creek-Frontal Buena Vista Lake Bed
163224.000000000000000,660.556745119999960,CA,1605030202,Middle West Walker River
102580.000000000000000,415.134362029999977,CA,1802015202,Middle Fork Cottonwood Creek
108708.000000000000000,439.936941400000023,"CA,NV",1808000312,Upper Long Valley Creek
413792.000000000000000,1674.593705389999968,CA,1810020407,Alamo River
122025.000000000000000,493.830106450000017,CA,1807010402,Big Sycamore Canyon-Frontal Santa Monica Bay
107195.000000000000000,433.810691299999974,CA,1805000404,Arroyo Valle
66977.000000000000000,271.051046610000014,CA,1802012204,Lights Creek
126645.000000000000000,512.523873829999957,CA,1805000206,Petaluma River-Frontal San Pablo Bay Estuaries
78977.000000000000000,319.616138009999986,CA,1810010023,Town of Old Dale-Dog Wash
47264.000000000000000,191.274917929999987,CA,1802015902,Upper Feather River
50424.000000000000000,204.064762320000000,CA,1802000218,Juniper Creek
45063.000000000000000,182.367425900000001,CA,1810010034,Clipper Wash
139235.000000000000000,563.474623459999975,CA,1804001007,Lower Stanislaus River
80875.000000000000000,327.295863520000012,CA,1809020803,Apple Valley Dry Lake
131064.000000000000000,530.408015539999951,CA,1803001008,Pine Flat Reservoir-Kings River
184668.000000000000000,747.341132450000032,CA,1809010302,Lone Pine Creek-Owens River
73304.000000000000000,296.657680040000002,CA,1802012101,Headwaters North Fork Feather River
142883.000000000000000,578.240517569999952,CA,1803001206,Los Gatos Creek
87517.000000000000000,354.175973460000023,CA,1809020505,Ninemile Canyon
