,hucid,states
15597,1801020409,"CA,OR"
15598,1810020308,CA
15599,1805000408,CA
15600,1802000105,"CA,OR"
15601,1809020803,CA
15602,1802015503,CA
15603,1804000305,CA
15604,1807030102,CA
15605,1810020303,CA
15606,1803000609,CA
15607,1803001207,CA
15608,1803000207,CA
15609,1809020216,"CA,NV"
15610,1801020302,OR
15611,1801010501,CA
15612,1801021102,CA
15613,1802012603,CA
15614,1803000201,CA
15615,1804000913,CA
15616,1803001007,CA
15617,1810010017,CA
15618,1802015804,CA
15619,1806000603,CA
15620,1803001219,CA
15621,1810020302,CA
15622,1809010201,"CA,NV"
15623,1801011006,CA
15624,1802016306,CA
15625,1801020911,CA
15626,1802015401,CA
15627,1807030411,CA
15628,1803000506,CA
15629,1803000607,CA
15630,1802012103,CA
15631,1809020407,CA
15632,1809020201,NV
15633,1802015203,CA
15634,1802010406,CA
15635,1810020107,CA
15636,1809020508,CA
15637,1804000101,CA
15638,1810020415,CA
15639,1804000703,CA
15640,1802012604,CA
15641,1809020612,CA
15642,1807030205,CA
15643,1802000217,CA
15644,1808000305,CA
15645,1807030402,CA
15646,1809020617,CA
15647,1801020413,CA
15648,1810010043,CA
15649,1809020208,NV
15650,1809020403,CA
15651,1809020603,CA
15652,1810010024,CA
15653,1804000204,CA
15654,1809020611,CA
15655,1802012802,CA
15656,1801020905,CA
15657,1806001006,CA
15658,1801020104,OR
15659,1802000405,CA
15660,1804005104,CA
15661,1806000503,CA
15662,1801010901,CA
15663,1803001005,CA
15664,1802000307,CA
15665,1803000507,CA
15666,1809020705,CA
15667,1802011602,CA
15668,1810010022,CA
15669,1809020620,CA
15670,1809020311,CA
15671,1801020207,OR
15672,1810010027,CA
15673,1810020403,CA
15674,1801010604,CA
15675,1809020305,"CA,NV"
15676,1810010015,CA
15677,1803000606,CA
15678,1809010105,CA
15679,1804000906,CA
15680,1802000104,"CA,OR"
15681,1810010006,CA
15682,1802012510,CA
15683,1807030511,"CA,MX"
15684,1802012307,CA
15685,1802015405,CA
15686,1805000601,CA
15687,1807010205,CA
15688,1806000201,CA
15689,1801010506,CA
15690,1806000507,CA
15691,1802012504,CA
15692,1801020906,CA
15693,1803000308,CA
15694,1807020308,CA
15695,1802015903,CA
15696,1809020302,"CA,NV"
15697,1802012108,CA
15698,1803000312,CA
15699,1807030303,CA
15700,1804001403,CA
15701,1807010605,CA
15702,1804000118,CA
15703,1801020402,"CA,OR"
15704,1804000304,CA
15705,1804000903,CA
15706,1809020212,"CA,NV"
15707,1801021205,CA
15708,1809020813,CA
15709,1810010010,CA
15710,1805000210,CA
15711,1801020203,OR
15712,1801020606,"CA,OR"
15713,1809020816,CA
15714,1804001103,CA
15715,1804000807,CA
15716,1802011501,CA
15717,1801010504,CA
15718,1801020411,"CA,OR"
15719,1802012207,CA
15720,1806000404,CA
15721,1801021202,CA
15722,1801021107,CA
15723,1802015704,CA
15724,1810020304,CA
15725,1802015404,CA
15726,1807030103,CA
15727,1805000505,CA
15728,1806001402,CA
15729,1802012605,CA
15730,1802012107,CA
15731,1809020317,CA
15732,1804000606,CA
15733,1801020705,CA
15734,1802015605,CA
15735,1802015205,CA
15736,1810010035,CA
15737,1804001303,CA
15738,1801010203,CA
15739,1802012304,CA
15740,1807020306,CA
15741,1802010408,CA
15742,1804001206,CA
15743,1809020808,CA
15744,1806000505,CA
15745,1810010029,CA
15746,1807030404,CA
15747,1809020411,CA
15748,1809020821,CA
15749,1802015702,CA
15750,1802012806,CA
15751,1804000117,CA
15752,1804000105,CA
15753,1801021104,CA
15754,1801020603,"CA,OR"
15755,1809010104,CA
15756,1801010505,CA
15757,1804000610,CA
15758,1807030305,CA
15759,1804001205,CA
15760,1801010503,CA
15761,1803000608,CA
15762,1803001214,CA
15763,1809020503,CA
15764,1808000302,CA
15765,1809020106,CA
15766,1809010102,"CA,NV"
15767,1804000308,CA
15768,1803000206,CA
15769,1804000603,CA
15770,1801010401,CA
15771,1810020202,"CA,MX"
15772,1802011605,CA
15773,1804000611,CA
15774,1804000112,CA
15775,1804000201,CA
15776,1801011007,CA
15777,1801010801,CA
15778,1807010201,CA
15779,1807020310,CA
15780,1802000201,CA
15781,1806000704,CA
15782,1810010009,CA
15783,1802012105,CA
15784,1806000403,CA
15785,1802012303,CA
15786,1802015204,CA
15787,1803000202,CA
15788,1801020903,CA
15789,1810010020,CA
15790,1801010510,CA
15791,1804001402,CA
15792,1802015206,CA
15793,1802000210,CA
15794,1803001209,CA
15795,1802000205,CA
15796,1806000504,CA
